System;Route;Banner;City;Root
gbna;A2217;;;eng.a2217
gbna;A2218;;;eng.a2218
gbna;A2219;;;eng.a2219
gbna;A2220;;;eng.a2220
gbna;A2260;;;eng.a2260
gbna;A2270;;;eng.a2270
gbna;A2280;;;eng.a2280
gbna;A2290;;;eng.a2290
gbna;A2300;;;eng.a2300
gbna;A2500;;;eng.a2500
gbna;A2690;;;eng.a2690
gbna;A2700;;;eng.a2700
gbna;A2990;;;eng.a2990
gbna;A3000;;;eng.a3000
gbna;A3002;;;eng.a3002
gbna;A3003;;;eng.a3003
gbna;A3004;;;eng.a3004
gbna;A3005;;;eng.a3005
gbna;A3006;;;eng.a3006
gbna;A3007;;;eng.a3007
gbna;A3008;;;eng.a3008
gbna;A3009;;;eng.a3009
gbna;A3010;;;eng.a3010
gbna;A3011;;;eng.a3011
gbna;A3015;;;eng.a3015
gbna;A3016;;;eng.a3016
gbna;A3020;;;eng.a3020
gbna;A3021;;;eng.a3021
gbna;A3022;;;eng.a3022
gbna;A3023;;;eng.a3023
gbna;A3024;;;eng.a3024
gbna;A3025;;;eng.a3025
gbna;A3026;;;eng.a3026
gbna;A3027;;;eng.a3027
gbna;A3028;;;eng.a3028
gbna;A3029;;;eng.a3029
gbna;A3030;;;eng.a3030
gbna;A3031;;;eng.a3031
gbna;A3032;;;eng.a3032
gbna;A3033;;;eng.a3033
gbna;A3035;;;eng.a3035
gbna;A3036;;;eng.a3036
gbna;A3038;;;eng.a3038
gbna;A3039;;;eng.a3039
gbna;A3040;;;eng.a3040
gbna;A3044;;;eng.a3044
gbna;A3046;;;eng.a3046
gbna;A3047;;;eng.a3047
gbna;A3049;;;eng.a3049
gbna;A3050;;;eng.a3050
gbna;A3051;;;eng.a3051
gbna;A3052;;;eng.a3052
gbna;A3054;;;eng.a3054
gbna;A3055;;Freshwater;eng.a3055
gbna;A3055;;Sandown;eng.a3055san
gbna;A3056;;;eng.a3056
gbna;A3057;;;eng.a3057
gbna;A3058;;;eng.a3058
gbna;A3059;;;eng.a3059
gbna;A3060;;;eng.a3060
gbna;A3062;;;eng.a3062
gbna;A3063;;;eng.a3063
gbna;A3064;;;eng.a3064
gbna;A3065;;;eng.a3065
gbna;A3066;;;eng.a3066
gbna;A3071;;;eng.a3071
gbna;A3072;;;eng.a3072
gbna;A3073;;;eng.a3073
gbna;A3074;;;eng.a3074
gbna;A3075;;;eng.a3075
gbna;A3076;;;eng.a3076
gbna;A3078;;;eng.a3078
gbna;A3079;;;eng.a3079
gbna;A3082;;;eng.a3082
gbna;A3083;;;eng.a3083
gbna;A3088;;;eng.a3088
gbna;A3090;;;eng.a3090
gbna;A3094;;;eng.a3094
gbna;A3095;;;eng.a3095
gbna;A3098;;;eng.a3098
gbna;A3100;;Godalming;eng.a3100
gbna;A3100;;Burpham;eng.a3100bur
gbna;A3102;;;eng.a3102
gbna;A3110;;;eng.a3110
gbna;A3111;;;eng.a3111
gbna;A3112;;;eng.a3112
gbna;A3113;;;eng.a3113
gbna;A3121;;;eng.a3121
gbna;A3122;;;eng.a3122
gbna;A3123;;;eng.a3123
gbna;A3124;;;eng.a3124
gbna;A3125;;;eng.a3125
gbna;A3126;;;eng.a3126
gbna;A3200;;;eng.a3200
gbna;A3201;;;eng.a3201
gbna;A3202;;;eng.a3202
gbna;A3203;;;eng.a3203
gbna;A3204;;;eng.a3204
gbna;A3205;;;eng.a3205
gbna;A3207;;;eng.a3207
gbna;A3209;;;eng.a3209
gbna;A3210;;;eng.a3210
gbna;A3211;;;eng.a3211
gbna;A3212;;;eng.a3212
gbna;A3213;;;eng.a3213
gbna;A3214;;;eng.a3214
gbna;A3216;;;eng.a3216
gbna;A3217;;;eng.a3217
gbna;A3218;;;eng.a3218
gbna;A3219;;;eng.a3219
