country;state;Name;Pop.;latitude;longitude
SAU;ALL;al-Madīnah;1039873;24.48;39.59
AUS;ALL;Adelaide;1039516;-34.93;138.6
MEX;MEX-JAL;Zapopan;1038598;20.72;-103.4
IND;ALL;Hāora;1033158;22.58;88.33
CAN;AB;Calgary;1032626;51.05;-114.06
RUS;ALL;Ufa;1024480;54.78;56.04
HND;ALL;Tegucigalpa;1021661;14.09;-87.22
IND;ALL;Rānchi;1021628;23.36;85.33
KOR;ALL;Sŏngnam;1016969;37.44;127.15
NGA;ALL;Ilorin;1014565;8.49;4.55
MAR;ALL;Fes, Fez;1008782;34.05;-5
MYS;ALL;Klang;1004194;3.04;101.45
IND;ALL;Chandīgarh;1003301;30.75;76.78
IRN;ALL;Ahvāz;1003162;31.28;48.72
IND;ALL;Koyampattur;999777;11.01;76.96
DEU;ALL;Köln;995824;50.95;6.97
IRN;ALL;Qom;995530;34.65;50.95
UKR;ALL;Odesa;994739;46.47;30.73
UKR;ALL;Donetsk;990132;48;37.82
RUS;ALL;Perm;989223;58;56.25
IND;ALL;Jodhpur;987124;26.29;73.02
BRA;ALL;São Luís;986476;-2.5;-44.3
BRA;ALL;São Gonçalo;985283;-22.84;-43.07
RUS;ALL;Volgograd;984157;48.71;44.48
CHN;ALL;Huaibei;976220;33.95;116.75
CHN;ALL;Changzhou;975848;31.78;119.97
IND;ALL;Maisūru;973856;12.31;76.65
IND;ALL;Guwāhāti;973019;26.19;91.75
TUR;ALL;Konya;970742;37.88;32.48
ITA;ALL;Napoli;965421;40.85;14.27
IND;ALL;Vijayawāda;957370;16.52;80.63
USA;MI;Detroit city;951270;42.387137;-83.102641
KOR;ALL;Ulsan;951074;35.55;129.31
GBR;ENG;Birmingham;948463;52.48;-1.91
VEN;ALL;Ciudad Guayana;940477;8.37;-62.62
COD;ALL;Kolwezi;932258;-10.7;25.66
IDN;ALL;Padang;929429;-0.95;100.35
RUS;ALL;Krasnoyarsk;926577;56.02;93.06
NIC;ALL;Managua;922248;12.15;-86.27
ARG;ALL;Mendoza;919824;-32.89;-68.83
IND;ALL;Gwalior;919550;26.23;78.17
KGZ;ALL;Bişkek;914932;42.87;74.57
NPL;ALL;Kathmandu;911084;27.71;85.31
BOL;ALL;El Alto;907887;-16.5;-68.17
NER;ALL;Niamey;907178;13.52;2.12
RWA;ALL;Kigali;904779;-1.94;30.06
CHN;ALL;Qiqihar;903824;47.35;124
MNG;ALL;Ulaanbaatar;903273;47.93;106.91
IND;ALL;Madurai;901681;9.92;78.12
CAN;AB;Edmonton;895435;53.57;-113.54
USA;CA;San Jose city;894943;37.304051;-121.872734
TKM;ALL;Aşgabat;891879;37.95;58.38
SDN;ALL;al-H̱arţūm Bah̨rī;889963;15.64;32.52
PER;ALL;Arequipa;887367;-16.39;-71.53
MAR;ALL;Marrakech, Marrakesh;887192;31.63;-8
IDN;ALL;Bandar Lampung;886569;-5.44;105.27
CHN;ALL;Pingdingshan;886544;33.73;113.3
COL;ALL;Cartagena;885718;10.4;-75.5
IND;ALL;Hubli;879506;15.36;75.13
BOL;ALL;La Paz;877363;-16.5;-68.15
CHN;ALL;Wenzhou;873914;28.02;120.65
CAN;ON;Ottawa;870591;45.42;-75.71
MYS;ALL;Johor Bahru;867507;1.48;103.75
KEN;ALL;Mombasa;867028;-4.04;39.66
MWI;ALL;Lilongwe;866272;-13.97;33.8
ITA;ALL;Torino;864875;45.08;7.68
BRA;ALL;Duque de Caxias;862267;-22.77;-43.31
ARE;ALL;Abu Dhabi;859749;24.48;54.37
IND;ALL;Jalandhar;857717;31.33;75.57
NGA;ALL;Warri;854327;5.52;5.76
ESP;ALL;Valencia;854131;39.48;-0.39
NOR;ALL;Oslo;852007;59.91;10.75
CHN;ALL;Taian;851830;36.2;117.12
SAU;ALL;ad-Dammām;849868;26.43;50.1
IND;ALL;Mira Bhayandar;849588;19.29;72.85
IND;ALL;Salem;849444;11.67;78.16
ZAF;ALL;Pietermaritzburg;847319;-29.61;30.39
MEX;MEX-EMEX;Naucalpan;846306;19.48;-99.23
SYR;ALL;H̨imş;845752;34.73;36.72
RUS;ALL;Voronezh;845301;51.72;39.26
IND;ALL;Bhubaneswar;843581;20.27;85.84
RUS;ALL;Saratov;840679;51.57;46.03
IRQ;ALL;Kirkūk;835927;35.47;44.39
NGA;ALL;Onitsha;832705;6.14;6.78
PAK;ALL;Quetta;825889;30.21;67.02
IND;ALL;Alīgarh;823085;27.89;78.06
SLE;ALL;Freetown;819634;8.49;-13.24
ARG;ALL;Tucumán;818672;-26.83;-65.22
IDN;ALL;Bogor;817822;-6.58;106.79
IND;ALL;Thiruvananthapuram;813460;8.51;76.95
IND;ALL;Bareli;812337;28.36;79.41
PHL;ALL;Cebu;811365;10.32;123.9
IND;ALL;Kota;810509;25.18;75.83
BRA;ALL;Natal;808713;-5.8;-35.22
KOR;ALL;Shihŭng;807823;37.46;126.89
KOR;ALL;Puchŏn;807201;37.48;126.77
IND;ALL;Tiruchchirāppalli;806699;10.81;78.69
PER;ALL;Trujillo;804505;-8.11;-79.03
ARE;ALL;Sharjah;801004;25.37;55.41
IRN;ALL;Kermānshāh;800367;34.38;47.06
CHN;ALL;Qinhuangdao;799729;39.93;119.62
CHN;ALL;Anyang;799428;36.08;114.35
IND;ALL;Bhiwandi;799314;19.3;73.05
IRQ;ALL;an-Najaf;799137;32;44.34
