region;route;root;signage
ENG;A638;eng.a0638dew;primary
ENG;A639;eng.a0639;both
ENG;A640;eng.a0640;both
ENG;A641;eng.a0641;non-primary
ENG;A642;eng.a0642;both
ENG;A643;eng.a0643;both
ENG;A644;eng.a0644;both
ENG;A645;eng.a0645;both
ENG;A646;eng.a0646;both
ENG;A647;eng.a0647;both
ENG;A649;eng.a0649;non-primary
ENG;A650;eng.a0650;both
ENG;A650;eng.a0650man;non-primary
ENG;A651;eng.a0651;non-primary
ENG;A652;eng.a0652;non-primary
ENG;A653;eng.a0653;both
ENG;A654;eng.a0654;non-primary
ENG;A655;eng.a0655;non-primary
ENG;A656;eng.a0656;non-primary
ENG;A657;eng.a0657;non-primary
ENG;A658;eng.a0658;both
ENG;A659;eng.a0659;non-primary
ENG;A659;eng.a0659tad;non-primary
ENG;A660;eng.a0660;primary
ENG;A661;eng.a0661;both
ENG;A662;eng.a0662;non-primary
ENG;A663;eng.a0663;both
ENG;A664;eng.a0664;both
ENG;A664;eng.a0664sud;both
ENG;A665;eng.a0665;both
ENG;A666;eng.a0666;both
ENG;A667;eng.a0667;non-primary
ENG;A669;eng.a0669;non-primary
ENG;A670;eng.a0670;non-primary
ENG;A671;eng.a0671;both
ENG;A672;eng.a0672;non-primary
ENG;A673;eng.a0673;non-primary
ENG;A674;eng.a0674;non-primary
ENG;A675;eng.a0675;non-primary
ENG;A676;eng.a0676;non-primary
ENG;A677;eng.a0677;both
ENG;A678;eng.a0678;both
ENG;A679;eng.a0679;both
ENG;A680;eng.a0680;non-primary
ENG;A681;eng.a0681;non-primary
ENG;A682;eng.a0682;both
